permission	n. 同意,许可,允许
amaze	v. 使吃惊
pitch	n.场地； 最高点； 音高； 说教 vt.用沥青涂； 扔，投； 树起，搭起； 定位于 vi.抛，扔； [棒球]当投手； 搭帐篷； 向前跌或冲
bush	n. 灌木(丛),荒野, 狐狸尾巴 vt. 用灌木保护或支撑, 加衬套于 vi. 成灌木形,丛生 adj. 长得低矮的，二流的
complicity	n. 串通, 共谋
sandy	adj. 沙的, 沙地的, 多沙的      沙色的      不稳固的
etiquette	n. 礼仪, 礼节, 成规
conform	vt. 使一致,遵守,使顺从 vi. 一致,符合
validate	vt. 使...有效,确认
inadequate	adj. 不充分的,不适当的
commentary	n. 实况报道，现场解说,评论,注释，批评
significance	n. 意义,重要性
consistency	n. 坚持, 一致性, 强度, 硬度, 浓稠度
constitutional	adj. 组织的, 立宪的, 体质的
evolution	n. 进化, 发展, 进展
sprout	n. 芽, 萌芽 v. 使发芽, 长芽
contour	n. 轮廓(等高线,周线,电路,概要) vt. 画轮廓(画等高线) adj. 显示轮廓的
riot	v.&amp;n. 骚乱,闹事 vi. 闹事,骚乱
curiosity	n. 好奇, 好奇心
spawn	n. 卵,产物,后代,结果 vt. 产卵,种菌丝于,产生,造成 vi. 产卵,大量生产
excess	adj. 过量的,附加的 n. 超过,超越,过度,过量
crab	n. 蟹 v. 捕蟹，使横行 n. 爱争吵的人 n. [植]山楂子 v. 批评，抱怨
starch	n. 淀粉 vt. 给...上浆
tension	n. 紧张,张力,拉力 vt. （使金属线、帆等）拉紧
inert	adj. 惰性的, 迟钝的
metaphor	n. 隐喻,暗喻
calculation	n. 计算
protectionist	n. 保护贸易论者 adj. 保护贸易论的
register	v. 记录, 登记, 注册, 挂号 n. 暂存器, 记录, 登记簿 n. (语)语域; 通风调节设备
chronic	adj. 长期的,慢性的,惯常的
exaggeration	n. 夸张，夸大
purification	n. 净化，提纯, [宗]涤罪
slice	n. 薄的切片,一部份,锅铲 vt. 切成薄片,大幅降低
upgrade	vt. 提高(上升,浓集,加强) n. 提高(上升,浓集,加强)
invasion	n. 侵入, 侵略
slippery	adj. 滑的
defective	adj. 有缺陷的,欠缺,不完全变化动词 n. 有缺陷的人,不完全变化动词
trumpeter	n. 小号手，号兵 n. 鹤形鸟
depositor	n. 寄托者,存款人
guarantee	n. 保证(书), 担保(书) n. 担保人; 抵押品 vt. 保证, 担保
extensive	adj. 广泛的,广阔的
retrospect	n.回顾，回想 vt.&vi.回顾； 追溯
decay	n. 衰退, 腐败 v. 衰退, 腐败
intrigue	n. 阴谋,复杂的事,私通 vt. 欺骗,激起...的兴趣 vi. 密谋
revere	v. 尊敬, 敬畏, 崇敬 里维尔(美国马萨诸塞州城市, 避暑胜地)
wary	adj. 小心的,机警的,周到的
yardstick	n. 码尺
desolate	adj. 荒凉的，荒芜的 vt. 使荒芜
destructive	adj. 破坏性的, 有害的
reschedule	vt. 重新排定...日程
journal	n. 日记, 杂志, 日报
revolutionize	vt. 使革命化，使彻底变革  vi. 变革 =revolutionise（英）
meteorite	n. 陨石, 陨星
perfume	n. 香水,香气 v. 洒香水于,薰香
afflict	vt. 使苦恼,折磨
affluent	adj. 富裕的 n. 支流；富人
casual	adj. 偶然的, 随便的, 非正式, 漫不经心的
sculptural	adj. 雕刻的
keen	adj. 锋利的,敏锐的,强烈的,精明的,热衷于
depreciation	n. 价值减低,减价,跌落 [计算机] 折旧
glare	n. 闪耀光, 刺眼 v. 发眩光, 瞪视
anecdotal	adj. 逸话的, 多逸事趣闻的, 轶事一样的
harsh	adj. 粗糙的, 使人不舒服的，刺耳的, 严厉的，大约的
